Year,Value
1900,165
1910,160
1914,170
1918,190
1920,210
1925,220
1930,240
1935,250
1939,260
1945,300
1950,310
1955,350
1960,390
1965,430
1970,470
1975,510
1977,490
1980,520
1985,550
1990,580
1995,600
2000,650
2005,680
2007,690
2008,685
2009,660
2010,650
2011,630
2012,625
2013,620
2014,625
2015,635
2016,645
2017,640
2018,645
2019,655
2020,660
2021,665
2022,645
2023,650
2024,660
2025,665
