Year,Value
1900,600
1910,700
1920,2500
1930,2200
1940,5000
1945,8500
1950,5500
1960,6500
1970,8200
1980,8800
1990,10500
2000,12500
2010,13200
2015,13800
2020,13500
2022,14800
2023,15200
2024,15500
2025,15800
