Year,Value
1900,10.2
1905,11.5
1910,12.0
1914,13.5
1915,18.0
1916,22.0
1917,25.5
1918,28.0
1919,29.5
1920,28.0
1925,24.0
1930,23.5
1935,22.8
1939,23.0
1940,30.0
1941,38.0
1942,42.0
1943,44.5
1944,45.0
1945,43.0
1946,40.5
1947,38.0
1950,36.5
1955,32.0
1960,30.5
1965,31.0
1970,36.5
1975,35.0
1980,33.5
1982,37.0
1985,35.5
1990,33.0
1993,31.5
1995,32.0
2000,34.5
2005,35.0
2008,36.0
2010,34.5
2015,35.0
2019,36.0
2020,36.5
2021,36.8
2022,37.0
2023,37.3
2024,37.4
2025,37.5
