Year,Value
1900,3100
1905,2900
1910,2600
1914,2400
1915,8000
1916,14500
1917,19200
1918,21500
1919,20800
1920,19500
1925,18200
1930,19000
1935,18500
1939,17800
1940,20500
1941,23000
1942,24500
1943,26000
1944,27500
1945,28000
1946,27500
1950,26000
1955,22000
1960,18500
1965,15000
1970,12500
1975,10500
1980,9800
1985,11000
1990,8500
1995,12000
2000,11500
2005,14000
2008,18000
2010,24000
2015,29000
2019,31000
2020,38000
2021,39500
2022,38500
2023,41000
2024,42500
2025,43000
